Date,Name,Year,Letterboxd URI
2025-08-24,The Lighthouse,2019,https://boxd.it/icFU
2025-08-24,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-08-24,Tenet,2020,https://boxd.it/leq4
2025-08-24,Amélie,2001,https://boxd.it/2aUc
2025-08-24,Midsommar,2019,https://boxd.it/jhxe
2025-08-24,Gone Girl,2014,https://boxd.it/6hQu
2025-08-24,Prisoners,2013,https://boxd.it/4E5i
2025-08-24,No Country for Old Men,2007,https://boxd.it/21ew
2025-08-24,There Will Be Blood,2007,https://boxd.it/20Z2
2025-08-24,Lost in Translation,2003,https://boxd.it/2b0E
2025-08-24,Memento,2000,https://boxd.it/2bcK
2025-08-24,Poor Things,2023,https://boxd.it/tNWU
2025-08-24,The Substance,2024,https://boxd.it/zanS
2025-08-24,The Pianist,2002,https://boxd.it/2aqc
2025-08-24,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2025-08-24,Parasite,2019,https://boxd.it/hTha
2025-08-24,Under the Skin,2013,https://boxd.it/3mDa
2025-08-24,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2025-08-24,The Fantastic Four: First Steps,2025,https://boxd.it/mP6C
2025-08-24,Nobody 2,2025,https://boxd.it/C5Lc
2025-08-24,12 Angry Men,1957,https://boxd.it/2auI
2025-08-24,Saving Private Ryan,1998,https://boxd.it/29ro
2025-08-24,The Hunt,2012,https://boxd.it/3wEC
2025-08-24,La La Land,2016,https://boxd.it/a5fa
